shipment_id,pharma_class_id,product_name,weight_kg,origin_id,destination_id,distance_km,primary_transport_mode,transit_duration_hours,num_handovers,max_ambient_temp_c_expected,min_ambient_temp_c_expected,season,geopolitical_risk_score,carrier_reliability_score,packaging_type_used,packaging_autonomy_hours,temperature_excursion
SHP-00048,cool,Adalimumab (Humira),626.6,marseille,busan,9615.2,sea,451.8,1,27.6,21.3,Summer,2.42,0.83,active,174.5,1
SHP-00049,crt,Amoxicillin 500mg,167.4,dubai_airport,new_york,11022.7,sea,475.5,1,26.6,14.7,Summer,2.74,0.808,active,232.9,0
SHP-00050,cool,Hepatitis B Vaccine,122.9,frankfurt_airport,marseille,787.9,road,15.5,0,20.8,11.7,Spring,3.55,0.924,passive,57.4,0
SHP-00051,frozen,Zoster Vaccine (Shingrix),332.9,mumbai,dubai_port,1961.1,sea,81.8,3,31.5,22.3,Summer,2.07,0.792,passive,104.0,0
SHP-00052,cool,Influenza Vaccine,105.8,dubai_port,houston,13157.2,sea,564.3,1,30.2,19.5,Summer,5.01,0.852,active,177.1,0
SHP-00053,crt,Paracetamol 1g,1179.6,jfk_airport,le_havre,5649.2,sea,304.9,1,13.3,3.0,Spring,3.8,0.948,active,210.6,0
SHP-00054,frozen,Frozen Biologic RX-8,214.9,shanghai,schiphol,8971.9,sea,415.5,2,8.4,-0.6,Autumn,3.31,0.77,active,189.8,0
SHP-00055,frozen,Varicella Vaccine,31.4,new_york,antwerp,5886.5,sea,312.4,3,15.0,8.6,Autumn,2.01,0.866,active,133.2,1
SHP-00056,crt,Omeprazole 20mg,48.4,dubai_airport,hong_kong,5939.3,rail,71.4,1,34.4,24.8,Autumn,3.05,0.829,active,226.9,1
SHP-00057,crt,Omeprazole 20mg,51.4,los_angeles,busan,9645.0,sea,427.6,3,26.7,19.6,Summer,0.0,0.857,active,231.8,0
SHP-00058,crt,Paracetamol 1g,51.1,tokyo_narita,doha_airport,8297.7,rail,104.0,1,15.7,6.5,Winter,3.76,0.821,active,173.8,0
SHP-00059,crt,Atorvastatin 20mg,117.4,houston,cologne_airport,8286.7,sea,441.1,2,0.3,-10.3,Winter,4.58,0.757,active,186.3,0
SHP-00060,crt,Omeprazole 20mg,931.2,hamburg,los_angeles_lax,9090.4,sea,417.3,2,22.1,11.3,Autumn,3.93,0.877,active,197.0,0
SHP-00061,cool,Adalimumab (Humira),132.5,antwerp,hamburg,447.0,road,7.9,0,4.3,-3.1,Winter,1.14,0.901,passive,65.3,0
SHP-00062,crt,Omeprazole 20mg,1106.3,hamburg,mumbai,6554.0,sea,284.8,1,32.6,21.1,Spring,6.94,0.645,active,223.2,0
SHP-00063,crt,Omeprazole 20mg,121.1,mumbai,singapore,3896.2,sea,153.9,3,34.5,22.7,Spring,4.97,0.733,active,198.3,1
SHP-00064,crt,Ibuprofen 400mg,233.0,brussels,dubai_port,5156.4,sea,286.6,3,26.3,14.3,Autumn,3.22,0.806,active,170.1,0
SHP-00065,cool,Trastuzumab (Herceptin),44.4,new_york,tokyo_narita,10812.5,sea,476.9,2,21.0,10.7,Autumn,1.15,0.845,active,178.6,0
SHP-00066,frozen,Frozen Biologic RX-8,478.9,singapore,hong_kong,2594.5,sea,164.0,2,30.2,23.7,Winter,2.91,0.768,active,151.1,1
SHP-00067,cool,Influenza Vaccine,97.5,lyon,dubai_port,5003.0,sea,260.0,1,29.2,21.9,Summer,2.64,0.876,active,159.7,0
SHP-00068,crt,Aspirin 500mg,74.6,shanghai,singapore,3789.4,sea,254.7,1,29.1,22.6,Autumn,8.45,0.765,active,221.5,1
SHP-00069,frozen,Plasma-Derived Factor VIII,683.8,busan,frankfurt_airport,8892.0,sea,412.8,1,2.9,-7.0,Winter,4.25,0.883,active,140.0,0
SHP-00070,crt,Omeprazole 20mg,757.3,port_klang,lyon,10269.9,sea,462.0,2,7.9,-3.2,Autumn,4.02,0.797,active,223.6,0
SHP-00071,crt,Metformin 850mg,736.3,dubai_port,busan,7051.3,sea,332.0,2,31.5,23.1,Summer,5.5,0.876,active,195.7,0
SHP-00072,cool,Bevacizumab (Avastin),1659.1,schiphol,antwerp,113.0,road,4.7,1,4.7,-6.1,Winter,1.57,0.894,passive,59.5,0
SHP-00073,ultracold,mRNA COVID-19 Vaccine,399.5,los_angeles_lax,singapore,14121.7,sea,650.8,2,28.2,21.6,Winter,0.48,0.844,active,155.6,1
SHP-00074,crt,Amoxicillin 500mg,273.5,le_havre,hong_kong,9724.6,sea,431.0,3,31.0,21.5,Autumn,5.2,0.882,active,239.0,0
SHP-00075,crt,Metformin 850mg,30.8,doha_port,bangkok,5280.3,rail,74.3,2,34.2,27.1,Autumn,3.57,0.732,active,218.8,0
SHP-00076,cool,Insulin Glargine,827.3,dubai_airport,tokyo_narita,7979.2,rail,110.3,1,19.3,7.3,Autumn,8.25,0.866,active,169.8,1
SHP-00077,cool,Adalimumab (Humira),47.1,dubai_airport,hamburg,4885.9,sea,228.7,1,7.4,-4.3,Spring,3.93,0.887,active,172.4,0
SHP-00078,crt,Aspirin 500mg,685.9,port_klang,rotterdam,10241.3,sea,437.2,1,3.7,-7.8,Winter,4.55,0.913,active,196.2,0
SHP-00079,frozen,Zoster Vaccine (Shingrix),953.7,new_york,bangkok,13948.1,sea,625.6,1,34.3,24.2,Spring,6.57,0.792,active,132.7,0
SHP-00080,crt,Lisinopril 10mg,11.7,jfk_airport,schiphol,5847.6,sea,279.6,2,16.4,8.8,Spring,3.01,0.923,active,155.1,0
SHP-00081,cool,Insulin Glargine,618.8,los_angeles_lax,le_havre,8937.5,sea,411.5,2,6.0,-3.8,Winter,2.76,0.9,active,125.4,0
SHP-00082,crt,Omeprazole 20mg,1085.9,jfk_airport,sydney,16013.6,sea,712.0,3,23.4,17.0,Autumn,4.57,0.858,active,222.6,0
SHP-00083,crt,Paracetamol 1g,143.5,brussels,sydney,16748.7,sea,683.2,3,10.7,-0.3,Winter,2.75,0.855,active,218.2,0
SHP-00084,frozen,Frozen Biologic RX-8,1747.0,singapore,mumbai,3896.2,sea,176.3,2,31.8,24.5,Spring,5.19,0.657,active,189.1,1
SHP-00085,crt,Atorvastatin 20mg,2000.0,memphis,los_angeles_lax,2599.8,rail,43.1,2,30.7,20.9,Summer,2.79,0.925,passive,67.1,0
SHP-00086,crt,Atorvastatin 20mg,112.4,dubai_port,cologne_airport,4968.2,sea,282.8,2,25.7,17.1,Summer,0.92,0.968,active,182.0,1
SHP-00087,crt,Ibuprofen 400mg,220.0,port_klang,memphis,15624.7,sea,649.8,1,15.0,3.1,Winter,2.99,0.762,active,203.3,0
SHP-00088,frozen,Plasma-Derived Factor VIII,132.8,hamburg,jfk_airport,6116.4,sea,273.9,2,25.3,14.4,Summer,1.03,0.895,active,196.1,1
SHP-00089,crt,Amoxicillin 500mg,1521.1,doha_port,rotterdam,4975.6,sea,263.8,2,4.2,-6.6,Winter,5.07,0.823,active,151.7,1
SHP-00090,crt,Metformin 850mg,106.1,rotterdam,marseille,951.6,road,19.3,1,9.0,-0.9,Autumn,4.35,0.99,passive,55.9,0
SHP-00091,crt,Omeprazole 20mg,413.0,new_york,bangkok,13948.1,sea,677.1,2,30.4,23.0,Spring,2.81,0.788,active,209.3,0
SHP-00092,crt,Ibuprofen 400mg,337.3,doha_airport,singapore,6195.0,rail,80.1,2,34.1,23.5,Spring,4.64,0.99,active,193.3,0
SHP-00093,cool,Bevacizumab (Avastin),325.6,busan,houston,11442.4,sea,501.6,2,19.3,9.8,Spring,5.21,0.929,active,178.6,0
SHP-00094,crt,Metformin 850mg,1001.8,schiphol,memphis,7295.4,sea,332.8,3,31.6,25.1,Summer,3.83,0.824,active,182.3,1
SHP-00095,crt,Aspirin 500mg,2000.0,los_angeles_lax,le_havre,8937.5,sea,404.4,3,14.7,8.3,Autumn,2.62,0.816,active,176.4,1
SHP-00096,frozen,Plasma-Derived Factor VIII,2000.0,schiphol,hong_kong,9283.8,sea,389.1,3,34.3,23.6,Spring,0.77,0.817,active,189.1,1
SHP-00097,crt,Atorvastatin 20mg,53.4,brussels,rotterdam,124.3,road,6.3,0,2.1,-4.7,Winter,2.6,0.916,passive,55.6,0
SHP-00098,crt,Amoxicillin 500mg,10.0,kaohsiung,antwerp,9704.3,sea,475.0,1,17.7,8.6,Autumn,4.26,0.861,active,156.1,0
SHP-00099,cool,Hepatitis B Vaccine,2000.0,frankfurt_airport,kaohsiung,9532.1,sea,435.9,2,32.5,20.7,Spring,4.71,0.779,active,198.3,0
SHP-00100,frozen,Zoster Vaccine (Shingrix),35.9,dubai_port,rotterdam,5207.7,sea,254.9,2,12.4,2.4,Spring,4.5,0.952,active,128.5,0
SHP-00101,cool,Trastuzumab (Herceptin),160.0,shanghai,memphis,11979.7,sea,520.9,3,21.2,11.3,Spring,6.35,0.773,active,190.2,0
SHP-00102,cool,Hepatitis B Vaccine,2000.0,antwerp,shanghai,9061.4,sea,413.5,3,27.3,17.7,Spring,1.76,0.672,active,121.2,1
SHP-00103,cool,Adalimumab (Humira),137.1,los_angeles_lax,tokyo_narita,8753.8,sea,400.3,3,13.3,4.4,Winter,4.03,0.781,active,179.8,1
SHP-00104,frozen,Zoster Vaccine (Shingrix),1616.5,rotterdam,doha_port,4975.6,sea,256.4,2,20.7,12.9,Spring,2.02,0.859,active,144.9,0
SHP-00105,crt,Atorvastatin 20mg,280.3,doha_airport,jfk_airport,10769.3,air,39.4,1,26.6,18.8,Summer,2.65,0.876,passive,70.0,0
SHP-00106,crt,Lisinopril 10mg,2000.0,mumbai,doha_port,2301.2,rail,45.7,2,25.6,18.3,Spring,6.1,0.65,passive,68.2,1
SHP-00107,cool,Insulin Glargine,518.4,schiphol,lyon,728.0,road,16.2,0,14.7,3.8,Autumn,1.15,0.902,passive,58.2,0
SHP-00108,crt,Paracetamol 1g,16.0,hamburg,antwerp,447.0,road,10.7,0,9.4,2.1,Spring,4.82,0.99,passive,59.9,1
SHP-00109,cool,Trastuzumab (Herceptin),38.4,kaohsiung,singapore,2966.1,sea,207.6,3,34.4,26.3,Summer,4.08,0.9,active,147.0,1
SHP-00110,crt,Atorvastatin 20mg,2000.0,rotterdam,tokyo_narita,9379.0,rail,117.5,1,15.4,4.1,Winter,0.0,0.943,active,175.1,0
SHP-00111,crt,Atorvastatin 20mg,2000.0,sydney,busan,8015.6,sea,389.5,2,19.3,7.5,Spring,4.97,0.895,active,160.4,0
SHP-00112,crt,Atorvastatin 20mg,645.6,kaohsiung,new_york,12823.9,sea,553.6,2,24.4,12.4,Summer,3.03,0.844,active,224.8,0
SHP-00113,crt,Ibuprofen 400mg,228.3,los_angeles_lax,memphis,2599.8,rail,39.7,2,18.8,12.4,Winter,2.06,0.87,passive,56.2,0
SHP-00114,crt,Ibuprofen 400mg,401.8,hong_kong,busan,2027.1,rail,37.0,1,28.9,17.0,Summer,5.26,0.821,passive,70.3,0
SHP-00115,cool,Influenza Vaccine,142.9,kaohsiung,dubai_port,6579.7,sea,294.3,3,22.7,11.7,Spring,2.85,0.813,active,196.6,0
SHP-00116,frozen,Frozen Biologic RX-8,894.9,sao_paulo_gru,busan,18647.5,sea,798.6,2,28.2,16.4,Summer,7.4,0.726,active,129.7,1
SHP-00117,crt,Amoxicillin 500mg,28.0,doha_airport,dubai_port,348.8,road,7.6,0,22.7,14.1,Spring,3.92,0.81,passive,53.2,0
SHP-00118,cool,Hepatitis B Vaccine,135.6,frankfurt_airport,cologne_airport,136.3,road,2.0,1,9.0,1.2,Autumn,3.56,0.878,passive,49.8,1
SHP-00119,crt,Paracetamol 1g,1226.2,port_klang,rotterdam,10241.3,sea,420.8,2,27.4,17.0,Summer,2.35,0.886,active,206.8,0
SHP-00120,cool,Influenza Vaccine,477.8,los_angeles_lax,antwerp,9016.4,sea,401.1,2,10.1,0.6,Autumn,1.92,0.84,active,169.5,0
SHP-00121,crt,Amoxicillin 500mg,111.7,doha_airport,new_york,10791.8,sea,479.3,3,2.9,-6.4,Winter,5.29,0.842,active,153.4,0
SHP-00122,cool,Trastuzumab (Herceptin),67.0,new_york,mumbai,12565.8,sea,563.9,1,35.3,28.5,Summer,5.33,0.735,active,195.4,1
SHP-00123,crt,Lisinopril 10mg,191.5,doha_port,schiphol,4942.0,sea,245.2,3,26.4,16.5,Summer,2.54,0.858,active,193.8,0
SHP-00124,crt,Metformin 850mg,1137.7,rotterdam,los_angeles,8961.9,sea,412.7,1,16.0,7.9,Spring,1.04,0.924,active,161.8,0
SHP-00125,cool,Hepatitis B Vaccine,145.9,jfk_airport,rotterdam,5815.6,sea,261.5,1,24.2,13.6,Summer,0.37,0.965,active,136.5,0
SHP-00126,frozen,Zoster Vaccine (Shingrix),192.2,busan,houston,11442.4,sea,502.9,2,25.9,19.2,Spring,1.4,0.902,active,161.7,0
SHP-00127,crt,Paracetamol 1g,317.7,shanghai,doha_port,6847.0,sea,307.6,3,13.1,4.8,Winter,4.23,0.742,active,233.1,0
SHP-00128,crt,Amoxicillin 500mg,162.4,new_york,memphis,1519.3,rail,31.5,1,14.8,4.3,Winter,2.92,0.951,passive,65.5,0
SHP-00129,crt,Omeprazole 20mg,420.6,shanghai,los_angeles_lax,10436.7,sea,472.5,1,12.5,5.8,Winter,4.1,0.794,active,236.7,0
SHP-00130,cool,Insulin Glargine,549.9,dubai_airport,tokyo_narita,7979.2,rail,111.5,1,31.6,20.4,Summer,4.44,0.934,active,132.8,0
SHP-00131,cool,Trastuzumab (Herceptin),2000.0,houston,brussels,8113.6,sea,378.4,2,7.7,-0.2,Autumn,3.64,0.919,active,169.2,0
SHP-00132,cool,Bevacizumab (Avastin),10.0,antwerp,los_angeles,9028.6,sea,472.1,1,27.7,16.6,Autumn,3.68,0.902,active,130.0,0
SHP-00133,cool,Bevacizumab (Avastin),2000.0,houston,dubai_airport,13146.0,sea,539.8,3,23.4,17.2,Spring,2.91,0.849,active,151.0,0
SHP-00134,crt,Amoxicillin 500mg,23.8,cologne_airport,port_klang,10041.4,rail,132.2,2,31.8,25.7,Winter,5.34,0.875,active,158.3,0
SHP-00135,cool,Adalimumab (Humira),51.4,port_klang,los_angeles_lax,14171.9,sea,548.3,2,31.2,20.8,Summer,2.04,0.754,active,125.0,1
SHP-00136,crt,Paracetamol 1g,25.4,mumbai,tokyo_narita,6786.8,rail,99.3,1,19.3,7.6,Autumn,6.81,0.735,active,238.0,0
SHP-00137,crt,Aspirin 500mg,567.2,jfk_airport,brussels,5878.8,sea,237.6,1,8.3,0.7,Spring,4.05,0.88,active,224.8,0
SHP-00138,cool,Hepatitis B Vaccine,194.9,mumbai,rotterdam,6922.1,sea,322.4,3,1.6,-9.9,Winter,4.0,0.704,active,142.6,0
SHP-00139,crt,Ibuprofen 400mg,10.8,schiphol,sao_paulo_gru,9775.3,air,41.7,2,29.3,18.6,Spring,5.97,0.663,passive,48.8,0
SHP-00140,crt,Atorvastatin 20mg,804.4,los_angeles_lax,hamburg,9090.4,sea,430.4,3,4.1,-2.6,Winter,5.03,0.877,active,223.5,1
SHP-00141,cool,Influenza Vaccine,297.6,sydney,schiphol,16658.3,sea,682.3,1,23.6,14.0,Spring,0.29,0.864,active,132.1,0
SHP-00142,cool,Insulin Glargine,1124.9,sydney,schiphol,16658.3,sea,700.2,3,27.7,20.3,Summer,2.91,0.868,active,131.3,1
SHP-00143,cool,Trastuzumab (Herceptin),97.1,busan,singapore,4578.2,sea,246.0,3,37.7,31.0,Summer,3.11,0.859,active,183.5,0
SHP-00144,cool,Influenza Vaccine,238.0,tokyo_narita,cologne_airport,9353.4,sea,399.3,3,22.4,13.0,Autumn,2.07,0.876,active,147.5,0
SHP-00145,crt,Metformin 850mg,967.3,le_havre,bangkok,9603.7,sea,463.6,3,29.6,22.4,Autumn,1.75,0.77,active,220.1,0
SHP-00146,crt,Lisinopril 10mg,263.5,houston,tokyo_narita,10695.0,sea,442.7,2,15.6,7.5,Winter,0.82,0.99,active,147.2,0
SHP-00147,cool,Adalimumab (Humira),1189.3,marseille,singapore,10630.6,sea,473.8,1,37.1,30.4,Summer,0.62,0.939,active,199.8,1
SHP-00148,cool,Bevacizumab (Avastin),339.1,houston,hamburg,8306.9,sea,442.4,1,8.5,-2.4,Spring,2.06,0.98,active,145.1,0
SHP-00149,crt,Paracetamol 1g,2000.0,hong_kong,tokyo_narita,2943.1,rail,38.8,2,27.5,20.8,Spring,4.37,0.817,passive,58.1,1
SHP-00150,cool,Bevacizumab (Avastin),61.2,mumbai,shanghai,5084.5,sea,243.6,1,15.7,5.9,Winter,5.46,0.739,active,146.0,0
SHP-00151,cool,Bevacizumab (Avastin),593.1,frankfurt_airport,bangkok,8999.4,air,33.9,2,32.6,25.3,Autumn,3.61,0.75,passive,66.3,0
SHP-00152,cool,Bevacizumab (Avastin),714.2,schiphol,sao_paulo_gru,9775.3,sea,455.0,3,32.0,20.9,Summer,2.58,0.6,active,198.1,1
SHP-00153,crt,Aspirin 500mg,759.8,singapore,antwerp,10550.2,sea,479.3,2,7.0,-4.0,Spring,3.27,0.925,active,238.3,0
SHP-00154,crt,Paracetamol 1g,127.1,houston,le_havre,7904.7,sea,351.5,2,18.6,11.2,Spring,2.64,0.879,active,172.9,0
SHP-00155,crt,Amoxicillin 500mg,222.5,los_angeles,dubai_airport,13420.9,sea,576.3,2,27.2,15.3,Autumn,4.34,0.983,active,224.5,0
SHP-00156,crt,Amoxicillin 500mg,899.3,jfk_airport,dubai_airport,11001.3,air,44.7,1,26.4,15.4,Autumn,4.46,0.879,passive,60.4,0
SHP-00157,frozen,Frozen Biologic RX-8,136.3,busan,marseille,9615.2,sea,424.2,1,7.5,-1.2,Spring,3.87,0.92,active,174.1,0
SHP-00158,cool,Adalimumab (Humira),27.7,doha_port,dubai_airport,381.4,road,2.0,0,29.4,23.0,Autumn,3.66,0.813,passive,59.3,0
SHP-00159,crt,Paracetamol 1g,96.8,doha_airport,shanghai,6834.3,rail,80.2,1,21.9,14.6,Spring,4.69,0.78,active,144.7,0
SHP-00160,crt,Metformin 850mg,60.7,singapore,cologne_airport,10366.4,sea,481.3,2,18.8,9.1,Autumn,1.71,0.884,active,192.7,1
SHP-00161,cool,Influenza Vaccine,249.0,rotterdam,busan,8960.1,sea,397.5,3,13.4,2.1,Winter,1.23,0.902,active,174.0,0
SHP-00162,cool,Influenza Vaccine,155.6,le_havre,hong_kong,9724.6,sea,422.2,2,33.2,22.7,Spring,2.52,0.866,active,173.5,1
SHP-00163,frozen,Varicella Vaccine,15.7,dubai_airport,tokyo_narita,7979.2,rail,103.3,2,17.5,7.1,Autumn,5.42,0.876,active,199.3,1
SHP-00164,crt,Metformin 850mg,2000.0,dubai_airport,rotterdam,5205.5,sea,240.7,1,21.3,10.2,Autumn,5.43,0.838,active,208.6,0
SHP-00165,frozen,Frozen Biologic RX-8,38.1,dubai_airport,schiphol,5168.4,sea,290.6,3,25.1,13.7,Summer,3.38,0.853,active,162.1,1
SHP-00166,frozen,Zoster Vaccine (Shingrix),59.8,shanghai,marseille,9595.9,rail,124.2,2,1.5,-4.9,Winter,6.82,0.696,active,174.2,1
SHP-00167,cool,Trastuzumab (Herceptin),464.7,dubai_airport,dubai_port,43.0,road,2.8,0,22.6,16.0,Spring,0.85,0.797,passive,55.5,0
SHP-00168,crt,Metformin 850mg,21.6,doha_airport,shanghai,6834.3,rail,89.1,1,30.7,18.8,Summer,5.55,0.703,active,176.7,0
SHP-00169,crt,Amoxicillin 500mg,847.4,dubai_port,frankfurt_airport,4845.0,sea,231.4,2,9.5,2.5,Spring,6.55,0.874,active,166.6,1
SHP-00170,crt,Aspirin 500mg,422.0,busan,mumbai,5759.3,sea,234.6,3,32.4,23.0,Spring,6.85,0.659,active,181.9,0
SHP-00171,cool,Insulin Glargine,166.2,sao_paulo_gru,le_havre,9322.3,sea,460.8,2,6.0,-0.3,Winter,6.49,0.781,active,124.6,1
SHP-00172,ultracold,Gene Therapy AAV-9,1574.4,busan,memphis,11227.7,sea,469.0,3,27.8,20.6,Summer,1.74,0.83,active,181.4,1
SHP-00173,cool,Insulin Glargine,488.0,houston,busan,11442.4,sea,556.3,3,20.2,9.4,Spring,3.24,0.86,active,124.8,0
